targetAmount,raisedAmount,supporters,targetDate
500000.0,5743767.0,5398,2023-11-10
500000.0,5779378.0,5444,2023-11-10
500000.0,5143924.0,5026,2023-11-10
500000.0,5857607.0,5527,2023-11-10
500000.0,5676410.0,5325,2023-11-10
500000.0,5724140.0,5377,2023-11-10
500000.0,5594296.0,5232,2023-11-10
500000.0,5789371.0,5455,2023-11-10
500000.0,5567901.0,5210,2023-11-10
500000.0,5598118.0,5238,2023-11-10
500000.0,5610067.0,5250,2023-11-10
500000.0,5654480.0,5299,2023-11-10
500000.0,5804935.0,5472,2023-11-10
500000.0,5622683.0,5268,2023-11-10
500000.0,5779378.0,5444,2023-11-10
500000.0,5603769.0,5243,2023-11-10
500000.0,4706100.0,4459,2023-11-10
500000.0,5779931.0,5446,2023-11-10
500000.0,5417654.0,5067,2023-11-10
500000.0,5866383.0,5537,2023-11-10
500000.0,5756134.0,5416,2023-11-10
500000.0,5917526.0,5589,2023-11-10
500000.0,5884470.0,5554,2023-11-10
500000.0,5568449.0,5212,2023-11-10
500000.0,4523069.0,4255,2023-11-10
500000.0,5831563.0,5506,2023-11-10
500000.0,5584608.0,5225,2023-11-10
500000.0,5863977.0,5532,2023-11-10
500000.0,5847985.0,5517,2023-11-10
500000.0,5724140.0,5377,2023-11-10
500000.0,5923511.0,5597,2023-11-10
500000.0,3644565.0,3288,2023-11-10
500000.0,5944621.0,5612,2023-11-10
500000.0,5980968.0,5646,2023-11-10
500000.0,5634479.0,5281,2023-11-10
500000.0,5856100.0,5526,2023-11-10
500000.0,5888393.0,5556,2023-11-10
500000.0,5711421.0,5368,2023-11-10
500000.0,5763368.0,5425,2023-11-10
500000.0,5870911.0,5542,2023-11-10
500000.0,5867242.0,5538,2023-11-10
500000.0,5507752.0,5171,2023-11-10
500000.0,5865109.0,5534,2023-11-10
500000.0,5579671.0,5222,2023-11-10
500000.0,5945821.0,5615,2023-11-10
500000.0,5698804.0,5356,2023-11-10
500000.0,5772752.0,5438,2023-11-10
500000.0,5417256.0,5066,2023-11-10
500000.0,5648474.0,5295,2023-11-10
500000.0,5768362.0,5435,2023-11-10
500000.0,5714519.0,5370,2023-11-10
500000.0,5706705.0,5363,2023-11-10
500000.0,5656805.0,5303,2023-11-10
500000.0,5916720.0,5589,2023-11-10
500000.0,5142398.0,5023,2023-11-10
500000.0,5943436.0,5611,2023-11-10
500000.0,5805209.0,5473,2023-11-10
500000.0,5415902.0,5063,2023-11-10
500000.0,4705752.0,4458,2023-11-10
500000.0,5809360.0,5480,2023-11-10
500000.0,5879104.0,5551,2023-11-10
500000.0,5950032.0,5619,2023-11-10
500000.0,5812247.0,5482,2023-11-10
500000.0,5472939.0,5126,2023-11-10
500000.0,5098900.0,4968,2023-11-10
500000.0,5099287.0,4970,2023-11-10
500000.0,5679068.0,5331,2023-11-10
500000.0,5408267.0,5059,2023-11-10
500000.0,5717107.0,5371,2023-11-10
500000.0,3742598.0,3400,2023-11-10
500000.0,5866857.0,5538,2023-11-10
500000.0,5760070.0,5423,2023-11-10
500000.0,5868768.0,5539,2023-11-10
500000.0,5974941.0,5642,2023-11-10
500000.0,5424203.0,5073,2023-11-10
500000.0,5806833.0,5474,2023-11-10
500000.0,5606048.0,5245,2023-11-10
500000.0,5142398.0,5023,2023-11-10
500000.0,5702997.0,5361,2023-11-10
500000.0,5920581.0,5592,2023-11-10
500000.0,5660045.0,5305,2023-11-10
500000.0,5888462.0,5556,2023-11-10
500000.0,5469105.0,5121,2023-11-10
500000.0,5660045.0,5306,2023-11-10
500000.0,5817629.0,5491,2023-11-10
500000.0,5927204.0,5600,2023-11-10
500000.0,3606472.0,3246,2023-11-10
500000.0,5745698.0,5402,2023-11-10
500000.0,5872888.0,5543,2023-11-10
500000.0,5136204.0,5018,2023-11-10
500000.0,5751744.0,5409,2023-11-10
500000.0,5659692.0,5305,2023-11-10
500000.0,5487130.0,5149,2023-11-10
500000.0,5696799.0,5355,2023-11-10
500000.0,5717944.0,5373,2023-11-10
500000.0,5839917.0,5513,2023-11-10
500000.0,5760070.0,5423,2023-11-10
500000.0,5704700.0,5362,2023-11-10
500000.0,5983326.0,5648,2023-11-10
500000.0,3521782.0,3163,2023-11-10
500000.0,5920581.0,5592,2023-11-10
500000.0,5634753.0,5282,2023-11-10
500000.0,5565122.0,5208,2023-11-10
500000.0,5965360.0,5632,2023-11-10
500000.0,5878662.0,5549,2023-11-10
500000.0,5646407.0,5293,2023-11-10
500000.0,5144981.0,5028,2023-11-10
500000.0,5874746.0,5544,2023-11-10
500000.0,5981321.0,5647,2023-11-10
500000.0,5841723.0,5513,2023-11-10
500000.0,6029112.0,5686,2023-11-10
500000.0,5654480.0,5299,2023-11-10
500000.0,5881109.0,5552,2023-11-10
500000.0,5992864.0,5657,2023-11-10
500000.0,5879104.0,5551,2023-11-10
500000.0,5561971.0,5208,2023-11-10
500000.0,5154438.0,5039,2023-11-10
500000.0,5145680.0,5030,2023-11-10
500000.0,5164162.0,5052,2023-11-10
500000.0,5479183.0,5136,2023-11-10
500000.0,3547657.0,3186,2023-11-10
500000.0,5645678.0,5293,2023-11-10
500000.0,5736568.0,5389,2023-11-10
500000.0,5671701.0,5318,2023-11-10
500000.0,5994152.0,5658,2023-11-10
500000.0,6001562.0,5663,2023-11-10
500000.0,5812247.0,5482,2023-11-10
500000.0,5743767.0,5398,2023-11-10
500000.0,5504368.0,5170,2023-11-10
500000.0,5701175.0,5359,2023-11-10
500000.0,5891412.0,5561,2023-11-10
500000.0,5865709.0,5536,2023-11-10
500000.0,5509546.0,5175,2023-11-10
500000.0,5130203.0,5012,2023-11-10
500000.0,5535906.0,5186,2023-11-10
500000.0,5879104.0,5551,2023-11-10
500000.0,5859370.0,5531,2023-11-10
500000.0,5817219.0,5491,2023-11-10
500000.0,5890849.0,5560,2023-11-10
500000.0,5772841.0,5439,2023-11-10
500000.0,5476115.0,5128,2023-11-10
500000.0,5469105.0,5121,2023-11-10
500000.0,5676958.0,5327,2023-11-10
500000.0,5956867.0,5623,2023-11-10
500000.0,6001493.0,5663,2023-11-10
500000.0,5857923.0,5527,2023-11-10
500000.0,5584289.0,5225,2023-11-10
500000.0,5867311.0,5538,2023-11-10
500000.0,5561329.0,5206,2023-11-10
500000.0,5142936.0,5024,2023-11-10
500000.0,5957265.0,5624,2023-11-10
500000.0,5877709.0,5549,2023-11-10
500000.0,5565122.0,5208,2023-11-10
500000.0,5870558.0,5540,2023-11-10
500000.0,3701162.0,3350,2023-11-10
500000.0,5660045.0,5305,2023-11-10
500000.0,4808741.0,4604,2023-11-10
500000.0,5606048.0,5245,2023-11-10
500000.0,5706705.0,5363,2023-11-10
500000.0,5660045.0,5306,2023-11-10
500000.0,5858081.0,5527,2023-11-10
500000.0,5407297.0,5057,2023-11-10
500000.0,5885199.0,5554,2023-11-10
500000.0,5931319.0,5604,2023-11-10
500000.0,5733989.0,5386,2023-11-10
500000.0,5704700.0,5362,2023-11-10
500000.0,5994152.0,5658,2023-11-10
500000.0,4641216.0,4382,2023-11-10
500000.0,5606048.0,5245,2023-11-10
500000.0,5714519.0,5370,2023-11-10
500000.0,5146125.0,5029,2023-11-10
500000.0,5638705.0,5285,2023-11-10
500000.0,5136204.0,5018,2023-11-10
500000.0,5635648.0,5283,2023-11-10
500000.0,5733989.0,5386,2023-11-10
500000.0,5153023.0,5039,2023-11-10
500000.0,5763094.0,5424,2023-11-10
500000.0,5622683.0,5268,2023-11-10
500000.0,5698804.0,5356,2023-11-10
500000.0,5480020.0,5138,2023-11-10
500000.0,5676958.0,5327,2023-11-10
500000.0,5944621.0,5612,2023-11-10
500000.0,3561743.0,3206,2023-11-10
500000.0,5142936.0,5024,2023-11-10
500000.0,5947922.0,5618,2023-11-10
500000.0,4542671.0,4273,2023-11-10
500000.0,5812247.0,5482,2023-11-10
500000.0,5671701.0,5318,2023-11-10
500000.0,5671427.0,5317,2023-11-10
500000.0,5992864.0,5657,2023-11-10
500000.0,5668858.0,5315,2023-11-10
